Age,Total_Children,Total_Spending,Tenure_Days,Total_Store_Visits,Education,Marital_Status,Favorite_Category,Cluster
68,0,1551.5,971,25,Graduation,Single,Wines,0
71,2,27.0,125,6,Graduation,Single,Wines,1
60,0,776.0,472,21,Graduation,Together,Wines,0
41,1,53.0,65,8,Graduation,Together,MeatProducts,2
44,1,422.0,321,19,PhD,Married,Wines,2
58,1,716.0,453,22,Master,Together,Wines,0
54,1,590.0,753,21,Graduation,Divorced,Wines,0
40,1,169.0,488,10,PhD,Married,Wines,2
51,1,46.0,548,6,PhD,Together,MeatProducts,2
75,2,49.0,268,2,PhD,Together,Wines,1
42,1,19.0,386,4,Graduation,Married,MeatProducts,2
49,0,61.0,753,6,Basic,Married,Fruits,2
66,0,966.5,386,16,Graduation,Divorced,MeatProducts,0
73,2,310.0,386,15,Master,Divorced,Wines,1
38,0,46.0,787,5,Graduation,Married,MeatProducts,2
79,0,1315.0,742,26,PhD,Single,Wines,0
45,2,96.0,712,9,Graduation,Married,Wines,2
79,0,287.5,827,13,Graduation,Together,FishProducts,0
76,1,1732.5,618,26,Master,Married,Wines,0
40,1,133.0,1000,8,2n Cycle,Single,FishProducts,2
43,0,316.0,850,12,Graduation,Married,Wines,2
46,1,561.0,553,16,Graduation,Married,MeatProducts,2
76,1,972.0,713,17,PhD,Married,Wines,0
71,1,544.0,35,20,PhD,Married,Wines,1
74,1,444.0,628,19,Graduation,Together,Wines,0
56,0,75.0,673,8,Graduation,Single,MeatProducts,2
49,2,257.0,558,14,Graduation,Married,Wines,1
39,1,219.5,654,12,Graduation,Single,SweetProducts,2
36,1,131.0,554,9,Graduation,Married,MeatProducts,2
60,0,1408.0,379,26,PhD,Married,Wines,0
36,0,30.0,198,8,Master,Divorced,MeatProducts,2
62,0,318.0,396,11,Master,Together,Wines,2
55,1,120.0,787,9,Graduation,Together,Wines,2
73,2,302.0,768,17,PhD,Divorced,Wines,1
79,0,1196.0,654,18,Master,Married,Wines,0
74,2,65.0,464,6,Master,Single,Wines,1
55,1,913.0,340,28,PhD,Married,Wines,0
49,1,81.0,665,9,2n Cycle,Married,FishProducts,2
52,1,67.0,34,7,Graduation,Widow,Wines,2
82,0,862.5,703,24,PhD,Divorced,Wines,0
45,1,1298.0,586,21,Graduation,Married,MeatProducts,0
40,1,53.0,368,7,Master,Married,MeatProducts,2
68,1,22.0,712,4,Graduation,Together,Wines,1
66,0,186.0,574,9,PhD,Single,Wines,2
50,1,31.0,664,8,Master,Married,MeatProducts,2
49,0,747.0,161,16,Graduation,Single,MeatProducts,0
29,0,122.0,816,10,2n Cycle,Married,SweetProducts,2
57,1,55.0,561,5,Graduation,Together,MeatProducts,2
74,3,124.0,339,10,Graduation,Single,Wines,1
71,2,1319.0,847,25,PhD,Married,Wines,0
68,1,507.0,1,17,Graduation,Widow,Wines,1
61,0,1383.0,758,29,Master,Married,Wines,0
48,1,72.0,673,7,Graduation,Single,FishProducts,2
48,0,1428.0,153,21,Graduation,Divorced,MeatProducts,0
47,2,606.0,365,22,Graduation,Married,Wines,1
70,0,1795.0,747,27,Master,Together,Wines,0
59,0,1053.5,670,21,Graduation,Divorced,MeatProducts,0
37,1,29.0,222,6,Graduation,Single,Wines,2
43,1,46.0,537,7,Graduation,Single,MeatProducts,2
57,1,518.0,278,19,PhD,Married,Wines,1
43,0,1438.0,608,21,Master,Single,Wines,0
50,2,612.0,880,22,Graduation,Together,Wines,0
73,1,841.5,656,24,Graduation,Single,Wines,0
74,1,606.0,395,19,PhD,Widow,Wines,1
77,0,1035.0,542,16,Graduation,Together,Wines,0
54,1,34.0,564,5,Graduation,Married,MeatProducts,2
58,2,11.0,31,4,Graduation,Together,Wines,1
46,1,1193.5,262,32,2n Cycle,Single,Wines,0
67,1,652.0,435,18,Graduation,Together,Wines,0
55,3,1562.0,489,18,Graduation,Together,Wines,1
71,0,1184.5,757,21,Master,Married,Wines,0
52,1,109.0,813,9,2n Cycle,Married,MeatProducts,2
66,1,837.0,629,30,Graduation,Married,MeatProducts,0
50,2,661.0,581,24,PhD,Married,Wines,1
73,0,65.0,220,8,Graduation,Married,SweetProducts,2
48,1,13.0,717,4,Graduation,Divorced,MeatProducts,2
53,0,1491.0,831,19,Master,Married,Wines,0
49,0,1921.5,726,22,Graduation,Single,Wines,0
49,0,18.0,606,4,2n Cycle,Together,MeatProducts,2
60,0,692.0,673,21,Graduation,Together,Wines,0
40,1,165.0,829,12,Graduation,Single,MeatProducts,2
56,1,16.0,531,4,Graduation,Married,MeatProducts,2
52,1,79.0,639,9,2n Cycle,Married,Wines,2
62,0,318.0,396,11,Master,Together,Wines,2
38,0,778.0,284,27,Graduation,Divorced,MeatProducts,0
65,2,56.0,393,7,Graduation,Married,Wines,1
55,2,151.0,508,13,Master,Married,Wines,1
68,1,372.0,192,17,Graduation,Single,Wines,1
52,0,1283.5,1,19,Graduation,Married,MeatProducts,0
58,1,194.0,319,10,Graduation,Together,Wines,1
68,3,603.0,747,23,PhD,Married,Wines,1
68,2,18.0,193,4,Graduation,Single,MeatProducts,1
52,0,985.0,378,15,Master,Together,Wines,0
53,1,32.0,258,5,Master,Single,Wines,2
